url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,ED,EG,G,D,C,P,EU,O
JrsjozczSYc,"
          
          
          
          
            « L’atmosphère est post-apocalyptique » : malgré l’interdiction, ils se promènent sur lA13 fermée
          
        ",Le Parisien,proposal,2024-05-11T20:07:10.656Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,0,0,1
Yz0alHpFbCQ,"
          
          
          
          
            Votre position sur la manif pour tous et lIVG, incarne-t-elle les valeurs de la nouvelle droite ?
          
        ",RMC,proposal,2024-05-11T20:07:10.661Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,0,0,1
H70r5A6-R98,"
          
          
          
          
            Elections européennes : François-Xavier Bellamy (LR) vote | AFP Images
          
        ",AFP,proposal,2024-05-11T20:07:10.666Z,,0,18,19,DWDCO4c5kQg,0,0,0,1,0,1,1,0
CuLw6Wynp3A,"
          
          
          
          
            Européennes : LR choisit François-Xavier Bellamy comme tête de liste
          
        ",Public Sénat,proposal,2024-05-11T20:07:10.670Z,,0,18,19,DWDCO4c5kQg,0,0,0,1,0,1,1,0
gRbpPDJcz3w,"
          
          
          
          
            Mon interview dEmmanuel Macron - Les temps forts
          
        ",HugoDécrypte - Actus du jour,proposal,2024-05-11T20:07:10.676Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,1,1,0,0
iyKp9NAMaVk,"
          
          
          
          
            Israël en finale de l’Eurovision malgré les critiques
          
        ",Radio-Canada Info,proposal,2024-05-11T20:07:10.685Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,1,0,0
lvcoPu7Qb9M,"
          
          
          
          
            LHeure des Pros - La réponse de Pascal Praud à lattaque de Jean-Luc Mélenchon contre CNEWS
          
        ",Europe 1,proposal,2024-05-11T20:07:10.690Z,,0,18,19,DWDCO4c5kQg,0,1,0,0,0,1,1,0
34V6lA1N4oA,"
          
          
          
          
            « Comité du 9 mai » : Un rassemblement de lUltradroite est en cours à Paris
          
        ",Europe 1,proposal,2024-05-11T20:07:10.695Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,1,1,0
UxKIfhCSGr0,"
          
          
          
          
            Macron et sa plume - Le Moment Meurice
          
        ",France Inter,proposal,2024-05-11T20:07:10.700Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,1,1,0,0
boxHXwTk1-s,"
          
          
          
          
            « Pendant ce temps là » à la rédaction de Guillaume Meurice actualités - Le sketch
          
        ",France Inter,proposal,2024-05-11T20:07:10.704Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,0,0,1
_xaQo86CyDE,"
          
          
          
          
            Échanges tendus entre Louis Boyard et François-Xavier Bellamy (7 mai 2024, Paris, France) [4K]
          
        ",CLPRESS / Agence de presse,proposal,2024-05-11T20:07:10.709Z,,0,18,19,DWDCO4c5kQg,0,1,0,1,0,1,1,0
MM_sEecUquE,"
          
          
          
          
            BELLAMY / GLUCKSMANN : LE VRAI DÉBAT EUROPÉEN
          
        ",François-Xavier Bellamy,proposal,2024-05-11T20:07:10.713Z,,0,18,19,DWDCO4c5kQg,0,0,1,1,0,1,1,0
6BiYkHd-E_A,"
          
          
          
          
            Face à Philippe de Villiers - l’intégrale du 11/05/2024
          
        ",Europe 1,proposal,2024-05-11T20:07:10.717Z,,0,18,19,DWDCO4c5kQg,0,0,0,0,0,1,1,0
