X,ED,EG,G,D,C,O,P,EU
0,0.6818181818181818,0.0,0.045454545454545456,0.0,0.18181818181818182,0.045454545454545456,0.9545454545454546,0.6363636363636364
1,0.9047619047619048,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.38095238095238093,0.047619047619047616,1.0,0.8095238095238095
2,0.5238095238095238,0.09523809523809523,0.047619047619047616,0.0,0.19047619047619047,0.14285714285714285,0.9047619047619048,0.47619047619047616
3,0.6190476190476191,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.9523809523809523,0.8095238095238095
4,0.7619047619047619,0.0,0.047619047619047616,0.0,0.047619047619047616,0.14285714285714285,0.9047619047619048,0.8095238095238095
5,1.0,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523,0.047619047619047616,1.0,0.7619047619047619
6,0.8571428571428571,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,1.0,0.7142857142857143
7,0.5238095238095238,0.14285714285714285,0.09523809523809523,0.0,0.09523809523809523,0.14285714285714285,0.9047619047619048,0.5238095238095238
8,0.8095238095238095,0.09523809523809523,0.09523809523809523,0.0,0.2857142857142857,0.09523809523809523,0.9523809523809523,0.8095238095238095
9,0.5714285714285714,0.09523809523809523,0.09523809523809523,0.0,0.09523809523809523,0.23809523809523808,0.8095238095238095,0.6666666666666666
10,0.8095238095238095,0.047619047619047616,0.09523809523809523,0.0,0.19047619047619047,0.047619047619047616,1.0,0.8095238095238095
11,0.8571428571428571,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.9047619047619048,0.8571428571428571
12,0.8571428571428571,0.0,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.9523809523809523,0.8571428571428571
13,0.7619047619047619,0.0,0.09523809523809523,0.0,0.23809523809523808,0.14285714285714285,0.9047619047619048,0.8571428571428571
14,0.7619047619047619,0.09523809523809523,0.09523809523809523,0.0,0.14285714285714285,0.047619047619047616,1.0,0.7619047619047619
15,0.6190476190476191,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523,0.14285714285714285,0.9047619047619048,0.7142857142857143
16,0.6190476190476191,0.09523809523809523,0.0,0.0,0.5714285714285714,0.09523809523809523,0.9523809523809523,0.8571428571428571
17,0.7142857142857143,0.0,0.047619047619047616,0.0,0.14285714285714285,0.19047619047619047,0.8571428571428571,0.8095238095238095
18,0.6666666666666666,0.0,0.0,0.0,0.14285714285714285,0.047619047619047616,1.0,0.8095238095238095
19,0.6190476190476191,0.0,0.047619047619047616,0.0,0.38095238095238093,0.14285714285714285,0.9047619047619048,0.8095238095238095
20,0.8571428571428571,0.047619047619047616,0.0,0.0,0.42857142857142855,0.09523809523809523,0.9523809523809523,0.7619047619047619
21,0.8571428571428571,0.0,0.047619047619047616,0.0,0.14285714285714285,0.14285714285714285,0.9047619047619048,0.7619047619047619
22,0.7142857142857143,0.0,0.09523809523809523,0.0,0.38095238095238093,0.09523809523809523,0.9523809523809523,0.8095238095238095
23,0.6666666666666666,0.047619047619047616,0.047619047619047616,0.0,0.47619047619047616,0.0,1.0476190476190477,1.0476190476190477
24,0.7142857142857143,0.0,0.09523809523809523,0.0,0.09523809523809523,0.19047619047619047,0.8571428571428571,0.7142857142857143
25,0.6666666666666666,0.047619047619047616,0.0,0.0,0.14285714285714285,0.2857142857142857,0.7619047619047619,0.7619047619047619
26,0.9523809523809523,0.0,0.047619047619047616,0.0,0.14285714285714285,0.047619047619047616,1.0,0.9523809523809523
27,0.9047619047619048,0.0,0.09523809523809523,0.0,0.14285714285714285,0.0,1.0476190476190477,0.9047619047619048
28,0.8095238095238095,0.09523809523809523,0.047619047619047616,0.0,0.38095238095238093,0.047619047619047616,1.0,0.9047619047619048
29,0.42857142857142855,0.0,0.047619047619047616,0.0,0.38095238095238093,0.23809523809523808,0.8095238095238095,0.7142857142857143
30,0.47619047619047616,0.0,0.19047619047619047,0.0,0.47619047619047616,0.09523809523809523,0.9523809523809523,0.8571428571428571
31,0.8571428571428571,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,1.0476190476190477,0.9047619047619048
32,0.8095238095238095,0.09523809523809523,0.19047619047619047,0.0,0.2857142857142857,0.047619047619047616,1.0,0.8571428571428571
33,0.8095238095238095,0.0,0.09523809523809523,0.0,0.047619047619047616,0.09523809523809523,0.9523809523809523,0.7142857142857143
34,0.5434782608695652,0.043478260869565216,0.021739130434782608,0.0,0.21739130434782608,0.30434782608695654,0.717391304347826,0.6304347826086957
35,0.4782608695652174,0.08695652173913043,0.0,0.0,0.2608695652173913,0.391304347826087,0.6304347826086957,0.5217391304347826
36,0.2391304347826087,0.0,0.06521739130434782,0.0,0.2826086956521739,0.43478260869565216,0.5869565217391305,0.4782608695652174
37,0.21739130434782608,0.0,0.021739130434782608,0.0,0.21739130434782608,0.43478260869565216,0.5869565217391305,0.5652173913043478
38,0.34782608695652173,0.0,0.043478260869565216,0.0,0.2391304347826087,0.5217391304347826,0.5,0.45652173913043476
39,0.13043478260869565,0.0,0.021739130434782608,0.0,0.10869565217391304,0.6521739130434783,0.3695652173913043,0.34782608695652173
40,0.15217391304347827,0.0,0.021739130434782608,0.0,0.06521739130434782,0.6956521739130435,0.32608695652173914,0.2826086956521739
41,0.15217391304347827,0.0,0.0,0.0,0.06521739130434782,0.7391304347826086,0.2826086956521739,0.2391304347826087
42,0.2608695652173913,0.0,0.021739130434782608,0.0,0.06521739130434782,0.6086956521739131,0.41304347826086957,0.34782608695652173
43,0.17391304347826086,0.0,0.0,0.021739130434782608,0.06521739130434782,0.6521739130434783,0.3695652173913043,0.30434782608695654
