X,ED,EG,G,D,C,O,P,EU
0,0.5,0.0,0.045454545454545456,0.0,0.09090909090909091,0.09090909090909091,0.9090909090909091,0.6363636363636364
1,0.9047619047619048,0.09523809523809523,0.047619047619047616,0.0,0.42857142857142855,0.047619047619047616,1.0,0.6190476190476191
2,0.5238095238095238,0.09523809523809523,0.09523809523809523,0.0,0.19047619047619047,0.2857142857142857,0.7619047619047619,0.38095238095238093
3,0.6666666666666666,0.047619047619047616,0.09523809523809523,0.0,0.23809523809523808,0.14285714285714285,0.9047619047619048,0.5714285714285714
4,0.9047619047619048,0.09523809523809523,0.09523809523809523,0.0,0.14285714285714285,0.047619047619047616,1.0,0.8095238095238095
5,0.7619047619047619,0.14285714285714285,0.09523809523809523,0.0,0.14285714285714285,0.047619047619047616,1.0,0.5714285714285714
6,0.9523809523809523,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,0.0,1.0476190476190477,0.7619047619047619
7,0.7142857142857143,0.14285714285714285,0.09523809523809523,0.0,0.19047619047619047,0.19047619047619047,0.8571428571428571,0.5714285714285714
8,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.0,0.19047619047619047,0.19047619047619047,0.8571428571428571,0.7619047619047619
9,0.7142857142857143,0.09523809523809523,0.047619047619047616,0.0,0.14285714285714285,0.2857142857142857,0.7619047619047619,0.6190476190476191
10,0.9523809523809523,0.09523809523809523,0.09523809523809523,0.0,0.14285714285714285,0.0,1.0476190476190477,0.7619047619047619
11,0.8571428571428571,0.0,0.09523809523809523,0.0,0.047619047619047616,0.047619047619047616,1.0,0.8571428571428571
12,1.0,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.0,1.0476190476190477,1.0
13,0.8571428571428571,0.0,0.09523809523809523,0.0,0.047619047619047616,0.047619047619047616,1.0,0.9047619047619048
14,0.47619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.42857142857142855,0.6190476190476191,0.42857142857142855
15,0.7142857142857143,0.047619047619047616,0.0,0.0,0.09523809523809523,0.09523809523809523,0.9523809523809523,0.6666666666666666
16,0.9047619047619048,0.0,0.047619047619047616,0.0,0.3333333333333333,0.047619047619047616,1.0,0.8095238095238095
