
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur France 5

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:00:20;0.05
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:00:20;0.04
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:00:20;0.03
"ASSELINEAU FRANCOIS";Candidat;00:00:15;0.04
"ASSELINEAU FRANCOIS";Soutiens;00:00:00;-
"ASSELINEAU FRANCOIS";"Total Temps de parole";00:00:15;0.03
"ASSELINEAU FRANCOIS";"Total Temps d'antenne";00:00:15;0.02
"DUPONT AIGNAN NICOLAS";Candidat;00:40:31;5.68
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:40:31;4.44
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:43:28;3.68
"HIDALGO ANNE";Candidat;01:37:28;13.67
"HIDALGO ANNE";Soutiens;00:06:08;3.08
"HIDALGO ANNE";"Total Temps de parole";01:43:36;11.36
"HIDALGO ANNE";"Total Temps d'antenne";01:48:59;9.22
"JADOT YANNICK";Candidat;00:57:30;8.07
"JADOT YANNICK";Soutiens;00:15:07;7.59
"JADOT YANNICK";"Total Temps de parole";01:12:37;7.96
"JADOT YANNICK";"Total Temps d'antenne";01:15:47;6.41
"KOENIG GASPARD";Candidat;00:02:02;0.29
"KOENIG GASPARD";Soutiens;00:00:00;-
"KOENIG GASPARD";"Total Temps de parole";00:02:02;0.22
"KOENIG GASPARD";"Total Temps d'antenne";00:05:16;0.45
"LARROUTUROU PIERRE";Candidat;00:00:20;0.05
"LARROUTUROU PIERRE";Soutiens;00:00:00;-
"LARROUTUROU PIERRE";"Total Temps de parole";00:00:20;0.04
"LARROUTUROU PIERRE";"Total Temps d'antenne";00:00:20;0.03
"LASSALLE JEAN";Candidat;00:05:44;0.80
"LASSALLE JEAN";Soutiens;00:00:00;-
"LASSALLE JEAN";"Total Temps de parole";00:05:44;0.63
"LASSALLE JEAN";"Total Temps d'antenne";00:07:14;0.61
"LE PEN MARINE";Candidat;01:10:29;9.89
"LE PEN MARINE";Soutiens;00:19:55;10.00
"LE PEN MARINE";"Total Temps de parole";01:30:24;9.91
"LE PEN MARINE";"Total Temps d'antenne";02:07:41;10.80
"MACRON EMMANUEL";Candidat;00:16:02;2.25
"MACRON EMMANUEL";Soutiens;00:28:42;14.41
"MACRON EMMANUEL";"Total Temps de parole";00:44:44;4.90
"MACRON EMMANUEL";"Total Temps d'antenne";02:06:51;10.73
"MELENCHON JEAN LUC";Candidat;00:55:05;7.73
"MELENCHON JEAN LUC";Soutiens;00:32:25;16.27
"MELENCHON JEAN LUC";"Total Temps de parole";01:27:30;9.59
"MELENCHON JEAN LUC";"Total Temps d'antenne";01:33:23;7.90
"PECRESSE VALERIE";Candidat;01:42:55;14.44
"PECRESSE VALERIE";Soutiens;00:23:06;11.60
"PECRESSE VALERIE";"Total Temps de parole";02:06:01;13.82
"PECRESSE VALERIE";"Total Temps d'antenne";02:58:42;15.11
"PHILIPPOT FLORIAN";Candidat;00:01:48;0.25
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:01:48;0.20
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:01:48;0.15
"POUTOU PHILIPPE";Candidat;00:01:04;0.15
"POUTOU PHILIPPE";Soutiens;00:00:12;0.10
"POUTOU PHILIPPE";"Total Temps de parole";00:01:16;0.14
"POUTOU PHILIPPE";"Total Temps d'antenne";00:01:16;0.11
"ROUSSEL FABIEN";Candidat;01:40:57;14.16
"ROUSSEL FABIEN";Soutiens;00:06:13;3.12
"ROUSSEL FABIEN";"Total Temps de parole";01:47:10;11.75
"ROUSSEL FABIEN";"Total Temps d'antenne";02:22:15;12.03
"TAUBIRA CHRISTIANE";Candidat;01:20:21;11.27
"TAUBIRA CHRISTIANE";Soutiens;00:10:52;5.46
"TAUBIRA CHRISTIANE";"Total Temps de parole";01:31:13;10.00
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";01:45:18;8.90
"THOUY HELENE";Candidat;00:00:00;-
"THOUY HELENE";Soutiens;00:01:56;0.97
"THOUY HELENE";"Total Temps de parole";00:01:56;0.21
"THOUY HELENE";"Total Temps d'antenne";00:01:56;0.16
"ZEMMOUR ERIC";Candidat;01:20:03;11.23
"ZEMMOUR ERIC";Soutiens;00:54:35;27.40
"ZEMMOUR ERIC";"Total Temps de parole";02:14:38;14.76
"ZEMMOUR ERIC";"Total Temps d'antenne";02:41:51;13.69
