
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur France 2

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:00:00;-
"ARTHAUD NATHALIE";Soutiens;00:00:28;0.26
"ARTHAUD NATHALIE";"Total Temps de parole";00:00:28;0.08
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:00:31;0.07
"ASSELINEAU FRANCOIS";Candidat;00:10:25;2.63
"ASSELINEAU FRANCOIS";Soutiens;00:00:00;-
"ASSELINEAU FRANCOIS";"Total Temps de parole";00:10:25;1.81
"ASSELINEAU FRANCOIS";"Total Temps d'antenne";00:11:18;1.50
"DUPONT AIGNAN NICOLAS";Candidat;00:25:20;6.39
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:25:20;4.40
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:28:12;3.75
"HIDALGO ANNE";Candidat;00:32:02;8.08
"HIDALGO ANNE";Soutiens;00:08:00;4.47
"HIDALGO ANNE";"Total Temps de parole";00:40:02;6.96
"HIDALGO ANNE";"Total Temps d'antenne";00:45:01;5.99
"JADOT YANNICK";Candidat;00:12:51;3.24
"JADOT YANNICK";Soutiens;00:10:11;5.69
"JADOT YANNICK";"Total Temps de parole";00:23:02;4.00
"JADOT YANNICK";"Total Temps d'antenne";00:29:15;3.89
"KAZIB ANASSE";Candidat;00:00:31;0.13
"KAZIB ANASSE";Soutiens;00:00:00;-
"KAZIB ANASSE";"Total Temps de parole";00:00:31;0.09
"KAZIB ANASSE";"Total Temps d'antenne";00:01:17;0.17
"KOENIG GASPARD";Candidat;00:10:20;2.61
"KOENIG GASPARD";Soutiens;00:00:00;-
"KOENIG GASPARD";"Total Temps de parole";00:10:20;1.80
"KOENIG GASPARD";"Total Temps d'antenne";00:11:41;1.55
"LARROUTUROU PIERRE";Candidat;00:09:43;2.45
"LARROUTUROU PIERRE";Soutiens;00:00:00;-
"LARROUTUROU PIERRE";"Total Temps de parole";00:09:43;1.69
"LARROUTUROU PIERRE";"Total Temps d'antenne";00:10:29;1.39
"LASSALLE JEAN";Candidat;00:04:49;1.22
"LASSALLE JEAN";Soutiens;00:00:00;-
"LASSALLE JEAN";"Total Temps de parole";00:04:49;0.84
"LASSALLE JEAN";"Total Temps d'antenne";00:04:59;0.66
"LE PEN MARINE";Candidat;00:25:01;6.31
"LE PEN MARINE";Soutiens;00:29:03;16.24
"LE PEN MARINE";"Total Temps de parole";00:54:04;9.40
"LE PEN MARINE";"Total Temps d'antenne";01:11:19;9.49
"MACRON EMMANUEL";Candidat;00:02:03;0.52
"MACRON EMMANUEL";Soutiens;00:50:04;27.98
"MACRON EMMANUEL";"Total Temps de parole";00:52:07;9.06
"MACRON EMMANUEL";"Total Temps d'antenne";01:11:22;9.49
"MELENCHON JEAN LUC";Candidat;02:11:44;33.23
"MELENCHON JEAN LUC";Soutiens;00:24:38;13.77
"MELENCHON JEAN LUC";"Total Temps de parole";02:36:22;27.18
"MELENCHON JEAN LUC";"Total Temps d'antenne";03:26:28;27.46
"PECRESSE VALERIE";Candidat;00:44:31;11.23
"PECRESSE VALERIE";Soutiens;00:34:16;19.15
"PECRESSE VALERIE";"Total Temps de parole";01:18:47;13.69
"PECRESSE VALERIE";"Total Temps d'antenne";01:41:46;13.54
"PHILIPPOT FLORIAN";Candidat;00:00:00;-
"PHILIPPOT FLORIAN";Soutiens;00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps de parole";00:00:00;-
"PHILIPPOT FLORIAN";"Total Temps d'antenne";00:00:20;0.04
"POUTOU PHILIPPE";Candidat;00:22:54;5.78
"POUTOU PHILIPPE";Soutiens;00:00:00;-
"POUTOU PHILIPPE";"Total Temps de parole";00:22:54;3.98
"POUTOU PHILIPPE";"Total Temps d'antenne";00:25:54;3.44
"ROUSSEL FABIEN";Candidat;00:11:20;2.86
"ROUSSEL FABIEN";Soutiens;00:10:51;6.06
"ROUSSEL FABIEN";"Total Temps de parole";00:22:11;3.86
"ROUSSEL FABIEN";"Total Temps d'antenne";00:32:49;4.36
"TAUBIRA CHRISTIANE";Candidat;00:12:34;3.17
"TAUBIRA CHRISTIANE";Soutiens;00:00:00;-
"TAUBIRA CHRISTIANE";"Total Temps de parole";00:12:34;2.18
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";00:22:48;3.03
"THOUY HELENE";Candidat;00:00:34;0.14
"THOUY HELENE";Soutiens;00:00:00;-
"THOUY HELENE";"Total Temps de parole";00:00:34;0.10
"THOUY HELENE";"Total Temps d'antenne";00:00:57;0.13
"ZEMMOUR ERIC";Candidat;00:39:44;10.02
"ZEMMOUR ERIC";Soutiens;00:11:25;6.38
"ZEMMOUR ERIC";"Total Temps de parole";00:51:09;8.89
"ZEMMOUR ERIC";"Total Temps d'antenne";01:15:25;10.03
