
Election présidentielle 2022
Période du 1er janvier au 13 février 2022
Temps de parole sur France 24

Candidat;"Détail des temps";"Total période (durée)";"Total période (%)"
"ARTHAUD NATHALIE";Candidat;00:28:11;8.67
"ARTHAUD NATHALIE";Soutiens;00:00:00;-
"ARTHAUD NATHALIE";"Total Temps de parole";00:28:11;5.09
"ARTHAUD NATHALIE";"Total Temps d'antenne";00:28:11;2.03
"DUPONT AIGNAN NICOLAS";Candidat;00:30:27;9.36
"DUPONT AIGNAN NICOLAS";Soutiens;00:00:00;-
"DUPONT AIGNAN NICOLAS";"Total Temps de parole";00:30:27;5.50
"DUPONT AIGNAN NICOLAS";"Total Temps d'antenne";00:31:25;2.26
"HIDALGO ANNE";Candidat;00:43:45;13.45
"HIDALGO ANNE";Soutiens;00:12:37;5.52
"HIDALGO ANNE";"Total Temps de parole";00:56:22;10.18
"HIDALGO ANNE";"Total Temps d'antenne";01:24:44;6.10
"JADOT YANNICK";Candidat;00:30:40;9.43
"JADOT YANNICK";Soutiens;00:31:07;13.62
"JADOT YANNICK";"Total Temps de parole";01:01:47;11.16
"JADOT YANNICK";"Total Temps d'antenne";01:26:00;6.20
"LARROUTUROU PIERRE";Candidat;00:00:00;-
"LARROUTUROU PIERRE";Soutiens;00:00:00;-
"LARROUTUROU PIERRE";"Total Temps de parole";00:00:00;-
"LARROUTUROU PIERRE";"Total Temps d'antenne";00:00:24;0.03
"LE PEN MARINE";Candidat;00:25:59;7.99
"LE PEN MARINE";Soutiens;00:28:21;12.41
"LE PEN MARINE";"Total Temps de parole";00:54:20;9.81
"LE PEN MARINE";"Total Temps d'antenne";02:30:30;10.84
"MACRON EMMANUEL";Candidat;00:38:42;11.90
"MACRON EMMANUEL";Soutiens;01:23:17;36.44
"MACRON EMMANUEL";"Total Temps de parole";02:01:59;22.03
"MACRON EMMANUEL";"Total Temps d'antenne";07:25:20;32.09
"MELENCHON JEAN LUC";Candidat;00:17:26;5.36
"MELENCHON JEAN LUC";Soutiens;00:50:06;21.92
"MELENCHON JEAN LUC";"Total Temps de parole";01:07:32;12.19
"MELENCHON JEAN LUC";"Total Temps d'antenne";02:07:48;9.21
"PECRESSE VALERIE";Candidat;00:25:35;7.87
"PECRESSE VALERIE";Soutiens;00:21:38;9.47
"PECRESSE VALERIE";"Total Temps de parole";00:47:13;8.53
"PECRESSE VALERIE";"Total Temps d'antenne";02:42:47;11.73
"ROUSSEL FABIEN";Candidat;00:33:38;10.34
"ROUSSEL FABIEN";Soutiens;00:00:16;0.12
"ROUSSEL FABIEN";"Total Temps de parole";00:33:54;6.12
"ROUSSEL FABIEN";"Total Temps d'antenne";00:56:46;4.09
"TAUBIRA CHRISTIANE";Candidat;00:31:13;9.60
"TAUBIRA CHRISTIANE";Soutiens;00:00:00;-
"TAUBIRA CHRISTIANE";"Total Temps de parole";00:31:13;5.64
"TAUBIRA CHRISTIANE";"Total Temps d'antenne";01:45:30;7.60
"ZEMMOUR ERIC";Candidat;00:19:39;6.04
"ZEMMOUR ERIC";Soutiens;00:01:10;0.51
"ZEMMOUR ERIC";"Total Temps de parole";00:20:49;3.76
"ZEMMOUR ERIC";"Total Temps d'antenne";01:48:32;7.82
