url,homePosition,ytkids,type,insertionDate,refreshNB,regionAllowed,author,watchTime,actionNB,videoViewsNB,parent_id
bEbwmJy3xW8,,NA,regular,2024-05-03T19:45:24.805Z,,,Tibo InShape,6000,0,1,
Q9zvNfbRJOI,,NA,proposal,2024-05-03T19:45:25.681Z,,,Ludovic B,0,0,1,bEbwmJy3xW8
56ph-RTeZjw,,NA,proposal,2024-05-03T19:45:25.719Z,,,AILLEURS. ▸ reportages voyages,0,0,1,bEbwmJy3xW8
45j6nGVKTxI,,NA,proposal,2024-05-03T19:45:25.836Z,,,Tibo InShape,0,0,1,bEbwmJy3xW8
-NpQaReYqqA,,NA,proposal,2024-05-03T19:45:25.955Z,,,Touche pas à mon poste !,0,0,1,bEbwmJy3xW8
-wfVJsvnNLI,,NA,proposal,2024-05-03T19:45:26.014Z,,,Stoïk,0,0,1,bEbwmJy3xW8
IYZZUjSsOpg,,NA,proposal,2024-05-03T19:45:26.065Z,,,Mcfly et Carlito,0,0,1,bEbwmJy3xW8
Hl9Y-d9q4Zw,,NA,proposal,2024-05-03T19:45:26.115Z,,,Envoyé Spécial,0,0,1,bEbwmJy3xW8
_oBV-SiOl7c,,NA,proposal,2024-05-03T19:45:26.166Z,,,Hugoposé,0,0,1,bEbwmJy3xW8
ZAhbKdIofT4,,NA,proposal,2024-05-03T19:45:26.196Z,,,BRIGADES DÉLITE,0,0,1,bEbwmJy3xW8
B8znT7qx17E,,NA,proposal,2024-05-03T19:45:26.235Z,,,Holy Production ,0,0,1,bEbwmJy3xW8
Pv0iVoSZzN8,,NA,proposal,2024-05-03T19:45:26.252Z,,,MrBeast,0,0,1,bEbwmJy3xW8
18oekMuPU3A,,NA,proposal,2024-05-03T19:45:26.267Z,,,Ludovic B,0,0,1,bEbwmJy3xW8
-oOuo6fDcIY,,NA,proposal,2024-05-03T19:45:26.298Z,,,Envoyé Spécial,0,0,1,bEbwmJy3xW8
QJSoXYpPgt4,,NA,proposal,2024-05-03T19:45:26.320Z,,,JOYCA,0,0,1,bEbwmJy3xW8
E--WqWLihKo,,NA,proposal,2024-05-03T19:45:26.483Z,,,LEGEND,0,0,1,bEbwmJy3xW8
9P_ZMvojn04,,NA,proposal,2024-05-03T19:45:26.498Z,,,FastGoodCuisine,0,0,1,bEbwmJy3xW8
TJJDDkQ0zzg,,NA,proposal,2024-05-03T19:45:26.516Z,,,Towards Eternity - Français,0,0,1,bEbwmJy3xW8
_V5_Qqph7W8,,NA,proposal,2024-05-03T19:45:26.532Z,,,RMC DECOUVERTE,0,0,1,bEbwmJy3xW8
T9SCll9V46s,,NA,proposal,2024-05-03T19:45:26.549Z,,,Michou,0,0,1,bEbwmJy3xW8
vvX-1zFjqAg,,NA,proposal,2024-05-03T19:45:26.606Z,,,RMCSport,0,0,1,bEbwmJy3xW8
Q9zvNfbRJOI,,NA,regular,2024-05-03T19:46:16.066Z,,,Ludovic B,6000,2,2,
UdH346zCm_c,,NA,proposal,2024-05-03T19:46:16.374Z,,,Investigations et Enquêtes,0,2,2,Q9zvNfbRJOI
ognAG3ra2QI,,NA,proposal,2024-05-03T19:46:16.420Z,,,Jamy - Epicurieux,0,2,2,Q9zvNfbRJOI
ByAMU8M5dMk,,NA,proposal,2024-05-03T19:46:16.513Z,,,Ludovic B,0,2,2,Q9zvNfbRJOI
bEbwmJy3xW8,,NA,proposal,2024-05-03T19:46:16.605Z,,,Tibo InShape,0,2,2,Q9zvNfbRJOI
CwOIdWqEB0g,,NA,proposal,2024-05-03T19:46:16.631Z,,,Urgences,0,2,2,Q9zvNfbRJOI
18oekMuPU3A,,NA,proposal,2024-05-03T19:46:16.664Z,,,Ludovic B,0,2,2,Q9zvNfbRJOI
-oOuo6fDcIY,,NA,proposal,2024-05-03T19:46:16.689Z,,,Envoyé Spécial,0,2,2,Q9zvNfbRJOI
E1yIT5bN4B8,,NA,proposal,2024-05-03T19:46:16.710Z,,,Documentaire Société,0,2,2,Q9zvNfbRJOI
WQn-c_4dVWs,,NA,proposal,2024-05-03T19:46:16.735Z,,,Food Story,0,2,2,Q9zvNfbRJOI
st66TykfeII,,NA,proposal,2024-05-03T19:46:16.762Z,,,Alexandre Calvez,0,2,2,Q9zvNfbRJOI
pU9hLG0_HQk,,NA,proposal,2024-05-03T19:46:16.784Z,,,Ça commence aujourdhui,0,2,2,Q9zvNfbRJOI
SbU4oRFVtV4,,NA,proposal,2024-05-03T19:46:16.806Z,,,Investigations et Enquêtes,0,2,2,Q9zvNfbRJOI
6R74cIJU05s,,NA,proposal,2024-05-03T19:46:16.825Z,,,Brut,0,2,2,Q9zvNfbRJOI
XfxyTFqKpXc,,NA,proposal,2024-05-03T19:46:16.849Z,,,Nota Bene,0,2,2,Q9zvNfbRJOI
r_NwGvla7eQ,,NA,proposal,2024-05-03T19:46:16.875Z,,,100% DOCS,0,2,2,Q9zvNfbRJOI
zF_Rltal_RA,,NA,proposal,2024-05-03T19:46:16.896Z,,,Ludovic B,0,2,2,Q9zvNfbRJOI
S-nALMmzltk,,NA,proposal,2024-05-03T19:46:16.915Z,,,Ça commence aujourdhui,0,2,2,Q9zvNfbRJOI
57sq1tjtxX0,,NA,proposal,2024-05-03T19:46:16.988Z,,,ScienceClic,0,2,2,Q9zvNfbRJOI
gVnPwtMi208,,NA,proposal,2024-05-03T19:46:17.271Z,,,Fouloscopie,0,2,2,Q9zvNfbRJOI
L3ZIO-mBxfE,,NA,proposal,2024-05-03T19:46:17.324Z,,,Cash Investigation,0,2,2,Q9zvNfbRJOI
UqHf1k4vMA4,0.0,NA,homepage,2024-05-03T19:46:36.916Z,1.0,,Station Service,0,3,2,
J2VjCywFC_U,1.0,NA,homepage,2024-05-03T19:46:37.093Z,1.0,,ici Amy Plant,0,3,2,
