,Le Pen_YouTube,Macron_YouTube,Mélenchon_YouTube,Pécresse_YouTube,Zemmour_YouTube
2022-01-17,,,,,
2022-01-18,,,,,
2022-01-19,,,,,
2022-01-20,,,,,
2022-01-21,,,,,
2022-01-22,,,,,
2022-01-24,0.21453675524942023,0.251448898982328,0.10047574628239327,0.13337441950486711,0.2718417581544172
2022-01-25,0.2114031516589074,0.2403035517646113,0.09423856575462944,0.1457617890413107,0.2685444118332266
2022-01-26,0.20956485194924607,0.21581174904443987,0.11054590775700983,0.1609913085237649,0.25443180866407666
2022-01-27,0.2164109271649838,0.220734018964342,0.12093305062048033,0.14662362175550198,0.24029634215300533
2022-01-28,0.23797088584768736,0.21451805039555077,0.08867101090799322,0.14922278964044447,0.2385566018740525
2022-01-29,0.2169947312300921,0.20804617717998775,0.11511799848142298,0.12551021677650062,0.24655097663957157
2022-01-31,0.20757573337193863,0.24872025992239605,0.11972404299769694,0.09576598207333124,0.2253287254969842
2022-02-01,0.19342118600609762,0.26418407046772446,0.15388569617874034,0.07517754599956718,0.19815564289634088
2022-02-02,0.19554987887363126,0.27030517687078615,0.16820461755994082,0.06805934155970257,0.17642497305963062
2022-02-03,0.18613782075758603,0.279687562591672,0.1707697647624818,0.06501160727771296,0.17484617555822765
2022-02-04,0.17540191225239024,0.2850698136458772,0.14955245342068132,0.08239756613382945,0.193788820469677
2022-02-05,0.1663542477060548,0.2868637217571067,0.1517704985811069,0.08807232602063056,0.19401700224143542
2022-02-07,0.16068683033840575,0.27600269698423746,0.14559130855099936,0.09282371272283375,0.19136016197170932
2022-02-08,0.1585780481927571,0.28289892758237717,0.13688346492479733,0.10090602563914333,0.19511484079412647
2022-02-09,0.15340818300157283,0.2819357817965733,0.12264094929136346,0.11027799958596843,0.20638911511222674
2022-02-10,0.15992544084840718,0.282831301869172,0.10608674561608167,0.10551796989757782,0.23004480490031
2022-02-11,0.16122368003377127,0.2901958667832056,0.09602864785173369,0.10839931510216536,0.23329027759067375
2022-02-14,0.16308657367899185,0.2942156319354251,0.10431585423350706,0.1005672854677502,0.22333238087976962
2022-02-15,0.16649875611523623,0.28767946327019184,0.09756760623368003,0.1211352910118927,0.221391855089866
2022-02-16,0.1729979486123975,0.29597912284241945,0.08362497446059562,0.13025069111416532,0.22628613607299644
2022-02-17,0.16944406972855344,0.27318265288224963,0.08161895107232475,0.13137617203425403,0.24083417431823087
2022-02-18,0.17028469735824836,0.27582168471476204,0.08317673984926907,0.1228642209654961,0.24393869375735955
2022-02-21,0.160960549279294,0.2790698248442804,0.09901369881673464,0.1348407856855013,0.22905551494248275
2022-02-22,0.16291780267074604,0.2732023324892888,0.10566148931373438,0.12441805921079248,0.22725120310833874
2022-02-23,0.1607807676985153,0.2625117554169974,0.10799504395688486,0.11777677751841158,0.2306135796408047
2022-02-24,0.1588117003972727,0.27742772321777187,0.10893585242467498,0.08927738184938404,0.2271380034798556
2022-02-25,0.1617786408225034,0.27435911202336716,0.12017174944404052,0.08468063056687028,0.23604896645953363
2022-02-27,0.1579075181697053,0.2920842918492016,0.1272276801296399,0.08164914582395778,0.21893173002658486
2022-02-28,0.14737036259177397,0.3171375147503866,0.11965052812138117,0.09288469821014375,0.2123125163321599
2022-03-01,0.1507396214768101,0.3122220465927016,0.10682293661424923,0.07632705932075885,0.22840303944057513
2022-03-02,0.15353048221306678,0.32191396740775413,0.10923531979569866,0.08769037851575114,0.21461834611061031
2022-03-03,0.15907935897053505,0.3119739149802074,0.11683828999614164,0.09631213028034533,0.2133857582930371
2022-03-04,0.17086802382521493,0.3317952735248385,0.11163212194236478,0.09562232695528415,0.19827858290959008
2022-03-06,0.1702196014374315,0.34998798821861016,0.10423503992739287,0.09044161597703614,0.18664902209568227
