,Le Pen_YouTube,Macron_YouTube,Mélenchon_YouTube,Pécresse_YouTube,Zemmour_YouTube
2022-03-24,0.1457505775816678,0.38241887084795734,0.10369589602192016,0.09195654227021285,0.13971229600759122
2022-03-25,0.1682225583794951,0.30310828324190037,0.14519853923197928,0.07600676142076582,0.1542001628369914
2022-03-26,0.17326583413548022,0.2757893310874617,0.14974326006908117,0.09851384733939117,0.15657801252345904
2022-03-27,0.1870607190518648,0.2756350113533104,0.1457029796653018,0.10949529045509435,0.1555640653747498
2022-03-28,0.19088630662194592,0.2558838007779366,0.17516425233221816,0.09197111797005576,0.1498996830993016
2022-03-29,0.19220340663630214,0.2603701577660435,0.16662695558050705,0.09361438018179145,0.1487926479628159
2022-03-30,0.18643655753901062,0.2664899525917087,0.16395897198769374,0.0942312887219434,0.15629767149470353
2022-03-31,0.1889476398599789,0.2773440105127963,0.16881740306758594,0.10493849021194868,0.1430330198613278
2022-04-01,0.18364746229024534,0.2968020248707929,0.15572910027524792,0.10979046733558363,0.13657365650876005
2022-04-02,0.19434648298643967,0.31097609398941584,0.16584140192459215,0.0816647767073931,0.1400036607534007
2022-04-04,0.1909288211959837,0.3057353593741854,0.1797575017791373,0.07036055210830343,0.12124952545180112
2022-04-05,0.17903889598282263,0.3216305042039322,0.15866191573514393,0.10412978666427118,0.12040365426600978
2022-04-06,0.17752250269957962,0.3420023374881683,0.15538844109798175,0.10279792418875962,0.10713315346764564
2022-04-07,0.17515206462899918,0.3399226609787303,0.1514141140492075,0.11598494526899739,0.10413143107584243
2022-04-08,0.17778033544424615,0.31333146196852396,0.18865808784493068,0.09952677404102313,0.10030634276238352
2022-04-09,0.20013995527101452,0.2958452720691773,0.1882225667155199,0.09150764960356086,0.11142243724153977
2022-04-10,0.20362732699798564,0.2810825964854592,0.18545621561111814,0.09689744045404568,0.10966816989962624
