url,homePosition,ytkids,type,insertionDate,refreshNB,regionAllowed,author,watchTime,actionNB,videoViewsNB,parent_id
F4FkCMUaeps,0,NA,homepage,2022-06-17T11:50:56.125Z,0,,Yes vous aime,0,0,0,
36YnV9STBqc,1,NA,homepage,2022-06-17T11:50:56.331Z,0,,The Good Life Radio x Sensual Musique,0,0,0,
qyy-xB_R62g,2,NA,homepage,2022-06-17T11:50:56.365Z,0,,BWF TV,0,0,0,
o3oeMBrbnxk,3,NA,homepage,2022-06-17T11:50:56.389Z,0,,Tev - Ici Japon,0,0,0,
g9S2JrvftrY,4,NA,homepage,2022-06-17T11:50:56.407Z,0,,SQUEEZIE,0,0,0,
7cRFmYkNIK0,5,NA,homepage,2022-06-17T11:50:56.425Z,0,,BFMTV,0,0,0,
GLNtbkv4pX0,6,NA,homepage,2022-06-17T11:50:56.458Z,0,,Haa Taa Deep,0,0,0,
KH13Q0Bfc0w,7,NA,homepage,2022-06-17T11:50:56.476Z,0,,Sir Gibsy,0,0,0,
oFGKJKQcCVk,8,NA,homepage,2022-06-17T11:50:56.491Z,0,,KOROLOVA,0,0,0,
fAssPEi5pTs,9,NA,homepage,2022-06-17T11:50:56.509Z,0,,Michou,0,0,0,
AEHTde32NZY,10,NA,homepage,2022-06-17T11:50:56.524Z,0,,Fred Van Long,0,0,0,
vTkUlqFqWpc,11,NA,homepage,2022-06-17T11:50:56.537Z,0,,JAZZ & BLUES,0,0,0,
HYxAjLS87o0,12,NA,homepage,2022-06-17T11:50:56.551Z,0,,Chef Verrecchia,0,0,0,
niiiLDnuRgg,13,NA,homepage,2022-06-17T11:50:56.567Z,0,,Juju Fitcats,0,0,0,
bc7HLt9-IuA,14,NA,homepage,2022-06-17T11:50:56.581Z,0,,Lena Situations,0,0,0,
YY_sMHcidAk,15,NA,homepage,2022-06-17T11:50:56.596Z,0,,Poisson Fécond,0,0,0,
QG_yHZDlFqE,16,NA,homepage,2022-06-17T11:50:56.617Z,0,,orelsan,0,0,0,
g2-Dd51YL8o,17,NA,homepage,2022-06-17T11:50:56.632Z,0,,CHRIS,0,0,0,
M9OyO3bTqFg,18,NA,homepage,2022-06-17T11:50:56.648Z,0,,DORETDEPLATINE,0,0,0,
d137SkCZws0,19,NA,homepage,2022-06-17T11:50:56.664Z,0,,Smells Like GASOLINE,0,0,0,
m8wcMyZUT-c,20,NA,homepage,2022-06-17T11:50:56.681Z,0,,Scilabus,0,0,0,
qp19qVg-PDY,21,NA,homepage,2022-06-17T11:50:56.693Z,0,,Konbini,0,0,0,
g-6FER9ltuA,22,NA,homepage,2022-06-17T11:50:56.705Z,0,,Benjamin Workshop,0,0,0,
zrjqB0Bpf1E,23,NA,homepage,2022-06-17T11:50:56.731Z,0,,Mnet K-POP,0,0,0,
BGnJtst5fSI,24,NA,homepage,2022-06-17T11:50:56.743Z,0,,Mastulipe,0,0,0,
PJtORUQUrqw,25,NA,homepage,2022-06-17T11:50:56.757Z,0,,Le Monde à L'Envers,0,0,0,
n61ULEU7CO0,26,NA,homepage,2022-06-17T11:50:56.769Z,0,,Lofi Girl,0,0,0,
gmcZ7oFZm90,27,NA,homepage,2022-06-17T11:50:56.780Z,0,,Wankil Studio - Laink et Terracid,0,0,0,
XnitQYkYYcw,28,NA,homepage,2022-06-17T11:50:56.791Z,0,,FailArmy,0,0,0,
p9gpouZp2QA,29,NA,homepage,2022-06-17T11:50:56.802Z,0,,Miracle Music,0,0,0,
eaNj76vkqOY,30,NA,homepage,2022-06-17T11:50:56.841Z,0,,Montreux Comedy,0,0,0,
AfzhfvBCrYQ,31,NA,homepage,2022-06-17T11:50:56.863Z,0,,Thinkerview,0,0,0,
pletdAmEGpM,32,NA,homepage,2022-06-17T11:50:56.922Z,0,,Linca TV,0,0,0,
z2YL2BBrOnE,33,NA,homepage,2022-06-17T11:50:57.061Z,0,,Studio Bagel,0,0,0,
5D8KR6_wPU0,34,NA,homepage,2022-06-17T11:50:57.186Z,0,,Acoustic Greatest Hits.,0,0,0,
K-h0HZaHXpw,35,NA,homepage,2022-06-17T11:50:57.200Z,0,,JEAN-LUC MÉLENCHON,0,0,0,
ndVxD9u95Z0,36,NA,homepage,2022-06-17T11:50:57.213Z,0,,Deep Mood.,0,0,0,
-yFeZekJxZ8,37,NA,homepage,2022-06-17T11:50:57.226Z,0,,Relax Jazz Music,0,0,0,
oXwNwVMsRi0,38,NA,homepage,2022-06-17T11:50:57.240Z,0,,Cyprien,0,0,0,
t0Q2otsqC4I,39,NA,homepage,2022-06-17T11:50:57.258Z,0,,WB Kids,0,0,0,
uj7nHzkko-g,40,NA,homepage,2022-06-17T11:50:57.271Z,0,,Documentaire Société,0,0,0,
3XsEb7onPTA,41,NA,homepage,2022-06-17T11:50:57.286Z,0,,Mastu,0,0,0,
v9WSjE3tIkg,42,NA,homepage,2022-06-17T11:50:57.304Z,0,,Beast Reacts,0,0,0,
Qx11qJw2zf4,43,NA,homepage,2022-06-17T11:50:57.318Z,0,,Touche pas à mon poste !,0,0,0,
fJyqcV4YYSU,44,NA,homepage,2022-06-17T11:50:57.333Z,0,,Amixem,0,0,0,
oEmvfTeZ3XY,45,NA,homepage,2022-06-17T11:50:57.349Z,0,,Midnight Whiskey,0,0,0,
oerRDDPMFD0,46,NA,homepage,2022-06-17T11:50:57.362Z,0,,Origines Media,0,0,0,
sT1KpjKbsTk,47,NA,homepage,2022-06-17T11:50:57.375Z,0,,Green Sound,0,0,0,
9ftp0hrrIDQ,48,NA,homepage,2022-06-17T11:50:57.399Z,0,,Vilebrequin,0,0,0,
u9foWyMSATM,49,NA,homepage,2022-06-17T11:50:57.412Z,0,,FRANCE 24,0,0,0,
CYYtLXfquy0,50,NA,homepage,2022-06-17T11:50:57.424Z,0,,TrailerSpot,0,0,0,
_rMZt292mJc,51,NA,homepage,2022-06-17T11:50:57.446Z,0,,Relax Music,0,0,0,
T4-rIvTEe3g,52,NA,homepage,2022-06-17T11:50:57.457Z,0,,Score 90,0,0,0,
ix2svQ1M_sU,53,NA,homepage,2022-06-17T11:50:57.469Z,0,,Amore Animale,0,0,0,
xphwtv6N_nk,54,NA,homepage,2022-06-17T11:50:57.483Z,0,,Positive Energy Relaxation Music,0,0,0,
sLfqapBIqME,55,NA,homepage,2022-06-17T11:50:57.490Z,0,,Soolking Officiel,0,0,0,
Wpq3iQ0jBj8,56,NA,homepage,2022-06-17T11:50:57.498Z,0,,BFMTV,0,0,0,
QrqVKAPHZjM,57,NA,homepage,2022-06-17T11:50:57.507Z,0,,SQUEEZIE,0,0,0,
ohllp34AJsA,58,NA,homepage,2022-06-17T11:50:57.536Z,0,,Music Brokers,0,0,0,
AGINmVnr734,59,NA,homepage,2022-06-17T11:50:57.562Z,0,,Nota Bene,0,0,0,
fKlX47rrFUc,60,NA,homepage,2022-06-17T11:50:57.584Z,0,,Deep Mood.,0,0,0,
GJnR2StNHDc,61,NA,homepage,2022-06-17T11:50:57.615Z,0,,Ryan's World,0,0,0,
irTAQnrBuBo,62,NA,homepage,2022-06-17T11:50:57.639Z,0,,FOX 13 Tampa Bay,0,0,0,
gJEfbD8DqBY,63,NA,homepage,2022-06-17T11:50:57.657Z,0,,JohnnyQ90,0,0,0,
pPbLtSjFlgE,64,NA,homepage,2022-06-17T11:50:57.680Z,0,,NBA Extra - beIN SPORTS France,0,0,0,
CnmOO4eGuto,65,NA,homepage,2022-06-17T11:50:57.700Z,0,,FLORIAN PHILIPPOT,0,0,0,
N5_huaN1mGk,66,NA,homepage,2022-06-17T11:50:57.718Z,0,,CANAL+,0,0,0,
w8_sP9UVeww,67,NA,homepage,2022-06-17T11:50:57.731Z,0,,Radio Rock Music,0,0,0,
aDnFeWXpdoU,68,NA,homepage,2022-06-17T11:50:57.753Z,0,,المصحف كامل مكتوب,0,0,0,
1J_KvKb_6Yw,69,NA,homepage,2022-06-17T11:50:57.966Z,0,,euronews (en français),0,0,0,
4-QLKSzcnsc,70,NA,homepage,2022-06-17T11:50:58.065Z,0,,RapMusicHD,0,0,0,
YXMeRdHP5Mc,71,NA,homepage,2022-06-17T11:50:58.076Z,0,,DAM - Documentaires Auto / Moto,0,0,0,
SgW5d1OCD7Q,72,NA,homepage,2022-06-17T11:50:58.097Z,0,,Investigations et Enquêtes,0,0,0,
ApL6NZw-pTM,73,NA,homepage,2022-06-17T11:50:58.110Z,0,,Dr Nozman,0,0,0,
X94vQiHkLxU,74,NA,homepage,2022-06-17T11:50:58.120Z,0,,Mashup par HugoDécrypte,0,0,0,
1AE_hjOLDtU,75,NA,homepage,2022-06-17T11:50:58.132Z,0,,Launch Gaming,0,0,0,
nSCBOv466wI,76,NA,homepage,2022-06-17T11:50:58.143Z,0,,Slow Rock,0,0,0,
kgx4WGK0oNU,77,NA,homepage,2022-06-17T11:50:58.152Z,0,,阿鲍Abao,0,0,0,
LyfoLne15ts,78,NA,homepage,2022-06-17T11:50:58.162Z,0,,Terry Films,0,0,0,
ktMlWTd8cak,79,NA,homepage,2022-06-17T11:50:58.175Z,0,,Karolina Protsenko Violin,0,0,0,
m80E1K75vDI,80,NA,homepage,2022-06-17T11:50:58.184Z,0,,Quiet Quest - Study Music,0,0,0,
RG9TMn1FJzc,81,NA,homepage,2022-06-17T11:50:58.194Z,0,,BBC,0,0,0,
ASCMw-UCafA,82,NA,homepage,2022-06-17T11:50:58.208Z,0,,달밤의 오보에 Moonlight Oboe,0,0,0,
HL8Er3cP2b4,83,NA,homepage,2022-06-17T11:50:58.219Z,0,,Xiimo,0,0,0,
E7T7WhS_cvk,84,NA,homepage,2022-06-17T11:50:58.230Z,0,,Touche pas à mon poste !,0,0,0,
ba3ojTDNIfw,85,NA,homepage,2022-06-17T11:50:58.243Z,0,,HugoDécrypte - Actus du jour,0,0,0,
AwT9FhgFiXc,86,NA,homepage,2022-06-17T11:50:58.255Z,0,,Soso Maness,0,0,0,
INRncaJ6Dxc,87,NA,homepage,2022-06-17T11:50:58.271Z,0,,Thansis1997,0,0,0,
FbQB2TvRe0A,88,NA,homepage,2022-06-17T11:50:58.289Z,0,,Hits Love Songs,0,0,0,
9m9ZTVfVTJA,89,NA,homepage,2022-06-17T11:50:58.300Z,0,,atv,0,0,0,
xmR4qCYF3b8,90,NA,homepage,2022-06-17T11:50:58.311Z,0,,Jimmy Kimmel Live,0,0,0,
Dx5qFachd3A,91,NA,homepage,2022-06-17T11:50:58.319Z,0,,Cafe Music BGM channel,0,0,0,
4I98GZ6AIA4,92,NA,homepage,2022-06-17T11:50:58.328Z,0,,Musicoterapia,0,0,0,
EbCpt4kUicY,93,NA,homepage,2022-06-17T11:50:58.336Z,0,,Investigations et Enquêtes,0,0,0,
hOWUxl6swO4,94,NA,homepage,2022-06-17T11:50:58.343Z,0,,KinoCheck.com,0,0,0,
xTY0SlyVfCQ,95,NA,homepage,2022-06-17T11:50:58.351Z,0,,Ghibli Piano Music,0,0,0,
B4_TG5jv1jY,96,NA,homepage,2022-06-17T11:50:58.364Z,0,,Wankil Studio - Laink et Terracid,0,0,0,
3pt7paDuVo4,97,NA,homepage,2022-06-17T11:50:58.375Z,0,,Les Kassos,0,0,0,
r23xQuM7jVo,98,NA,homepage,2022-06-17T11:50:58.384Z,0,,Haa Taa Deep,0,0,0,
eB2OpurOFhk,99,NA,homepage,2022-06-17T11:50:58.394Z,0,,World of Idiots,0,0,0,
7xN8RlFcEQ8,100,NA,homepage,2022-06-17T11:50:58.405Z,0,,Dj Cole,0,0,0,
npzMSGFGlzE,101,NA,homepage,2022-06-17T11:50:58.420Z,0,,Etienne LGF,0,0,0,
UvjSXBqQe4A,102,NA,homepage,2022-06-17T11:50:58.436Z,0,,Destiny,0,0,0,
N07CAzExKIw,103,NA,homepage,2022-06-17T11:50:58.447Z,0,,House of Highlights,0,0,0,
H3R1y1ADCZw,104,NA,homepage,2022-06-17T11:50:58.460Z,0,,야미보이 Yummyboy,0,0,0,
5yx6BWlEVcY,105,NA,homepage,2022-06-17T11:50:58.472Z,0,,Chillhop Music,0,0,0,
zaFKG7SNbeg,106,NA,homepage,2022-06-17T11:50:58.482Z,0,,C à vous,0,0,0,
7bZO3ULVZ2w,107,NA,homepage,2022-06-17T11:50:58.494Z,0,,Jasmine Caplinger,0,0,0,
fJaOFCCL1aU,108,NA,homepage,2022-06-17T11:50:58.503Z,0,,MuscleWatching,0,0,0,
LBraVzyYDKg,109,NA,homepage,2022-06-17T11:50:58.523Z,0,,SQUEEZIE,0,0,0,
GnT6jd2L6gI,110,NA,homepage,2022-06-17T11:50:58.537Z,0,,Foot 2 Rue / Foot 2 Rue Extrême,0,0,0,
fgq7kMgnAG0,111,NA,homepage,2022-06-17T11:50:58.545Z,0,,Ar Rahman,0,0,0,
LwBmoILU3K4,112,NA,homepage,2022-06-17T11:50:58.555Z,0,,JAZZ & BLUES,0,0,0,
dz0dEzAHKUo,113,NA,homepage,2022-06-17T11:50:58.562Z,0,,Le Dessous des Cartes - ARTE,0,0,0,
9UMxZofMNbA,114,NA,homepage,2022-06-17T11:50:58.570Z,0,,The Good Life Radio x Sensual Musique,0,0,0,
5mGsgSv3yLs,115,NA,homepage,2022-06-17T11:50:58.581Z,0,,Lolywood,0,0,0,
L2wonwbmTzE,116,NA,homepage,2022-06-17T11:50:58.589Z,0,,Amixem,0,0,0,
5qm8PH4xAss,117,NA,homepage,2022-06-17T11:50:58.596Z,0,,50 Cent,0,0,0,
Q2zHOPBjx78,118,NA,homepage,2022-06-17T11:50:58.604Z,0,,mr bundesteam,0,0,0,
i8jsv658F8g,119,NA,homepage,2022-06-17T11:50:58.612Z,0,,THEODORT,0,0,0,
Cp4Rxh1ZqzA,120,NA,homepage,2022-06-17T11:50:58.619Z,0,,Deep House Nation,0,0,0,
kP4Gxtr_GbM,121,NA,homepage,2022-06-17T11:50:58.627Z,0,,Swan & Néo,0,0,0,
Ze8_TuDUli0,122,NA,homepage,2022-06-17T11:50:58.635Z,0,,Summer Music Deep,0,0,0,
CcEJAJhyI8c,123,NA,homepage,2022-06-17T11:50:58.643Z,0,,Morgan VS,0,0,0,
eav2AFzuLF8,124,NA,homepage,2022-06-17T11:50:58.650Z,0,,Mcfly et Carlito,0,0,0,
Pym_mBhBin4,125,NA,homepage,2022-06-17T11:50:58.657Z,0,,Le Monde à L'Envers,0,0,0,
jtVWQjb96o4,126,NA,homepage,2022-06-17T11:50:58.664Z,0,,Investigations et Enquêtes,0,0,0,
4wmylAORCx8,127,NA,homepage,2022-06-17T11:50:58.672Z,0,,Dr Nozman,0,0,0,
NbJXxuoJXUM,128,NA,homepage,2022-06-17T11:50:58.679Z,0,,AcoTUBE,0,0,0,
hineGNZfXRw,129,NA,homepage,2022-06-17T11:50:58.687Z,0,,Cafe De Anatolia,0,0,0,
QWgoJ6Rm9xw,130,NA,homepage,2022-06-17T11:50:58.694Z,0,,RoCars,0,0,0,
MCYdpIf3tGc,131,NA,homepage,2022-06-17T11:50:58.701Z,0,,Yes vous aime,0,0,0,
JrB-uQhVtNE,132,NA,homepage,2022-06-17T11:50:58.709Z,0,,DENYZEE,0,0,0,
mlIy5E6zF9Q,133,NA,homepage,2022-06-17T11:50:58.723Z,0,,Late Night with Seth Meyers,0,0,0,
5qap5aO4i9A,134,NA,homepage,2022-06-17T11:50:58.732Z,0,,Lofi Girl,0,0,0,
9b9V_p_AK60,135,NA,homepage,2022-06-17T11:50:58.740Z,0,,Gaet74.yamahadt,0,0,0,
EGIb_bT_P_M,136,NA,homepage,2022-06-17T11:50:58.748Z,0,,Deep Mood.,0,0,0,
D1PiHxUL8L0,137,NA,homepage,2022-06-17T11:50:58.756Z,0,,Manga Workout,0,0,0,
8EwtTZ4n24I,138,NA,homepage,2022-06-17T11:50:58.765Z,0,,Pierre Croce,0,0,0,
plxEvIXy1q0,139,NA,homepage,2022-06-17T11:50:58.773Z,0,,Magic - La Famille Féerique,0,0,0,
yMVQFn7n1dw,140,NA,homepage,2022-06-17T11:50:58.780Z,0,,CYRILmp4,0,0,0,
y1dbbrfekAM,141,NA,homepage,2022-06-17T11:50:58.788Z,0,,HALIDONMUSIC,0,0,0,
Q7Q8CtI9HaE,142,NA,homepage,2022-06-17T11:50:58.795Z,0,,FreeDawkins,0,0,0,
47H7E3ccFmg,143,NA,homepage,2022-06-17T11:50:58.809Z,0,,FastGoodCuisine,0,0,0,
teev-T3CVSA,144,NA,homepage,2022-06-17T11:50:58.817Z,0,,Studio Bagel,0,0,0,
Q7tIqEgRwJY,145,NA,homepage,2022-06-17T11:50:58.825Z,0,,Ennio Morricone,0,0,0,
UJhlfA0U64E,146,NA,homepage,2022-06-17T11:50:58.833Z,0,,Soul Mixtape,0,0,0,
f44IQb5Igtc,147,NA,homepage,2022-06-17T11:50:58.840Z,0,,mr bundesteam,0,0,0,
-5KAN9_CzSA,148,NA,homepage,2022-06-17T11:50:58.848Z,0,,STEEZYASFUCK,0,0,0,
Sg-ucNFd_0s,149,NA,homepage,2022-06-17T11:50:58.855Z,0,,Soothing Relaxation,0,0,0,
9SnIQD7pCJk,150,NA,homepage,2022-06-17T11:50:58.863Z,0,,Tibo InShape,0,0,0,
MsN0_WNXvh8,151,NA,homepage,2022-06-17T11:50:58.872Z,0,,euronews (en français),0,0,0,
1z9tFJSuHgo,152,NA,homepage,2022-06-17T11:50:58.880Z,0,,franceinfo,0,0,0,
yjKDe_t9vmI,153,NA,homepage,2022-06-17T11:50:58.887Z,0,,Les Dalton,0,0,0,
