url,homePosition,ytkids,type,insertionDate,refreshNB,regionAllowed,author,watchTime,actionNB,videoViewsNB,parent_id
wS8kBuKX1eg,0,NA,homepage,2022-06-20T08:43:12.538Z,0,,HugoDécrypte - Actus du jour,0,0,0,
ndVxD9u95Z0,1,NA,homepage,2022-06-20T08:43:12.573Z,0,,Deep Mood.,0,0,0,
NJJNGSEz2WM,2,NA,homepage,2022-06-20T08:43:12.609Z,0,,Adrien Quatennens,0,0,0,
PJtORUQUrqw,3,NA,homepage,2022-06-20T08:43:12.640Z,0,,Le Monde à L'Envers,0,0,0,
v5pgiXol8I8,4,NA,homepage,2022-06-20T08:43:12.669Z,0,,Mcfly et Carlito,0,0,0,
4FajQOnM55Q,5,NA,homepage,2022-06-20T08:43:12.726Z,0,,SQUEEZIE GAMING,0,0,0,
gu5fHEJMRCY,6,NA,homepage,2022-06-20T08:43:12.756Z,0,,Sud Radio,0,0,0,
KH13Q0Bfc0w,7,NA,homepage,2022-06-20T08:43:12.781Z,0,,Sir Gibsy,0,0,0,
vxz8LDq3b6c,8,NA,homepage,2022-06-20T08:43:12.816Z,0,,FRANCE 24,0,0,0,
sKdfhsyTs7g,9,NA,homepage,2022-06-20T08:43:12.845Z,0,,Le Point,0,0,0,
p8aBf6K5bkU,10,NA,homepage,2022-06-20T08:43:12.886Z,0,,euronews (en français),0,0,0,
oXC68JqodN8,11,NA,homepage,2022-06-20T08:43:12.956Z,0,,Europe 1,0,0,0,
nlcKgFBinUQ,12,NA,homepage,2022-06-20T08:43:13.004Z,0,,Europe 1,0,0,0,
Mg5VSjJpEdg,13,NA,homepage,2022-06-20T08:43:13.023Z,0,,Europe 1,0,0,0,
1h6avqipcTM,14,NA,homepage,2022-06-20T08:43:13.051Z,0,,Europe 1,0,0,0,
bSF-ZF_xYc0,15,NA,homepage,2022-06-20T08:43:13.076Z,0,,official  lavkush 2,0,0,0,
m80E1K75vDI,16,NA,homepage,2022-06-20T08:43:13.093Z,0,,Quiet Quest - Study Music,0,0,0,
zbNWCv2tmYo,17,NA,homepage,2022-06-20T08:43:13.109Z,0,,Amixem,0,0,0,
5D8KR6_wPU0,18,NA,homepage,2022-06-20T08:43:13.170Z,0,,Acoustic Greatest Hits.,0,0,0,
d1HUFPBWUh4,19,NA,homepage,2022-06-20T08:43:13.191Z,0,,Mcfly et Carlito la chaîne secondaire,0,0,0,
Eeb37PfClwI,20,NA,homepage,2022-06-20T08:43:13.211Z,0,,Pieds Carrés,0,0,0,
0PL0MVK-zx0,21,NA,homepage,2022-06-20T08:43:13.241Z,0,,Marc vers l'Agriculture de Conservation,0,0,0,
z2YL2BBrOnE,22,NA,homepage,2022-06-20T08:43:13.273Z,0,,Studio Bagel,0,0,0,
z2lFEZw3Gzs,23,NA,homepage,2022-06-20T08:43:13.297Z,0,,Sofyan,0,0,0,
ssCcmUk5EJE,24,NA,homepage,2022-06-20T08:43:13.323Z,0,,THEODORT,0,0,0,
KZwHixxG-0g,25,NA,homepage,2022-06-20T08:43:13.385Z,0,,Sheshounet,0,0,0,
GjyHtKkUXB0,26,NA,homepage,2022-06-20T08:43:13.404Z,0,,Jules Marie,0,0,0,
myWHQgZB9Ng,27,NA,homepage,2022-06-20T08:43:13.423Z,0,,FORMULA 1,0,0,0,
HPIh4EX_7JQ,28,NA,homepage,2022-06-20T08:43:13.441Z,0,,Michou,0,0,0,
mZhf84hLjRQ,29,NA,homepage,2022-06-20T08:43:13.462Z,0,,Rachel & Emilien - Rénovation,0,0,0,
me19SUmWu2s,30,NA,homepage,2022-06-20T08:43:13.482Z,0,,Black Eyed Peas,0,0,0,
W-Xk4ZUW-ko,31,NA,homepage,2022-06-20T08:43:13.505Z,0,,SQUEEZIE,0,0,0,
5qap5aO4i9A,32,NA,homepage,2022-06-20T08:43:13.561Z,0,,Lofi Girl,0,0,0,
vTkUlqFqWpc,33,NA,homepage,2022-06-20T08:43:13.593Z,0,,JAZZ & BLUES,0,0,0,
6rYWeyTb0xU,34,NA,homepage,2022-06-20T08:43:13.625Z,0,,Lucid Dream,0,0,0,
vh4TCR2k9ig,35,NA,homepage,2022-06-20T08:43:13.663Z,0,,GMK,0,0,0,
GLNtbkv4pX0,36,NA,homepage,2022-06-20T08:43:13.699Z,0,,Haa Taa Deep,0,0,0,
