url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id
vjVhy39t2wg,"
          
          
          
          
            Cash investigation - Le scandale de lévasion fiscale (Intégrale)
          
        ",Cash Investigation,proposal,2024-05-12T15:59:58.262Z,,0,33,27,6Ohjyeb8q-A
ev3ZBC2-P4s,"
          
          
          
          
            Au cœur des organisations les plus DANGEREUSES au MONDE
          
        ",Immersion ▸ reportages et documentaires,proposal,2024-05-12T15:59:58.267Z,,0,33,27,6Ohjyeb8q-A
ndgwjfMqq5M,"
          
          
          
          
            Poutine écarte un ministre jugé trop puissant ?
          
        ",LCI,proposal,2024-05-12T15:59:58.272Z,,0,33,27,6Ohjyeb8q-A
q0NbOKbOkfY,"
          
          
          
          
            Rackets, murders and trafficking: investigation into the Calabrian mafia
          
        ",Investigations et Enquêtes,proposal,2024-05-12T15:59:58.277Z,,0,33,27,6Ohjyeb8q-A
s5uHC6TN2wo,"
          
          
          
          
            Cash investigation - Travail : ton univers impitoyable (Intégrale)
          
        ",Cash Investigation,proposal,2024-05-12T15:59:58.282Z,,0,33,27,6Ohjyeb8q-A
Jh_Nb4_HI2U,"
          
          
          
          
            The Adventurers (Action) Full Length Movie | Jean Reno
          
        ",Cinéma Cinémas,proposal,2024-05-12T15:59:58.286Z,,0,33,27,6Ohjyeb8q-A
Wo5ja19QCJc,"
          
          
          
          
            Dien Bien Phu: why France lost this legendary battle
          
        ",Le Monde,proposal,2024-05-12T15:59:58.293Z,,0,33,27,6Ohjyeb8q-A
NnlsFE7du4U,"
          
          
          
          
            Corée du Nord : arme nucléaire, terreur et propagande
          
        ",Investigations et Enquêtes,proposal,2024-05-12T15:59:58.297Z,,0,33,27,6Ohjyeb8q-A
7N7ybsQ5-bo,"
          
          
          
          
            Quest-ce quon risque avec leau de la Seine ?
          
        ",Brut,proposal,2024-05-12T15:59:58.303Z,,0,33,27,6Ohjyeb8q-A
UdH346zCm_c,"
          
          
          
          
            The largest tunnel in the world: miners facing the mountains
          
        ",Investigations et Enquêtes,proposal,2024-05-12T15:59:58.309Z,,0,33,27,6Ohjyeb8q-A
7r020kN3rxQ,"
          
          
          
          
            Florian Philippot sur France Info : européennes et gros clash !
          
        ",FLORIAN PHILIPPOT,proposal,2024-05-12T15:59:58.313Z,,0,33,27,6Ohjyeb8q-A
K4i79o5ku88,"
          
          
          
          
            Éric Zemmour pris pour cible ! CLASH entre Gilles Verdez et Tony Le Corse
          
        ",CYRIL HANOUNA,proposal,2024-05-12T15:59:58.318Z,,0,33,27,6Ohjyeb8q-A
GRvNZ5OqQac,"
          
          
          
          
            Cash investigation - Pêche industrielle : gros poissons en eaux troubles (Intégrale)
          
        ",Cash Investigation,proposal,2024-05-12T15:59:58.323Z,,0,33,27,6Ohjyeb8q-A
4w5gsXAX5fo,"
          
          
          
          
            Marion Maréchal invitée de Ruth Elkrief et François Lenglet sur LCI
          
        ",Marion Maréchal,proposal,2024-05-12T15:59:58.328Z,,0,33,27,6Ohjyeb8q-A
XQmNZLFU92U,"
          
          
          
          
            Je mets des roues de tracteur sur ma F1 !
          
        ",thierry vigneau Boiserie,proposal,2024-05-12T15:59:58.332Z,,0,33,27,6Ohjyeb8q-A
w_lamKUEXn0,Rachida Dati  en colère dézingue en direct Amandine Bégot sur RTL et Anne Hidalgo,L'hebdo des toulousains-zapping et Podcast,homepage,2024-05-12T16:00:04.588Z,7.0,0,34,27,
olMXvJj9RGY,Un petit bijou dhumour noir ! (Canal+),CulturePubTV,homepage,2024-05-12T16:00:04.601Z,7.0,0,34,27,
yo2EWWZS5Oo,Le lapsus de Jordan BARDELLA sur Manon Aubry | Mieux vaut en rire #172,Boulevard Voltaire,homepage,2024-05-12T16:00:04.606Z,7.0,0,34,27,
IQIPB1QstJo,"QUE SONT-ILS DEVENUS ? 🌎(Akon, Pitbull, Kat Deluna...)",SEB,homepage,2024-05-12T16:00:04.612Z,7.0,0,34,27,
3rcC9jVlhhw,JuL - Jai pris le mic (Clip Officiel),DORETDEPLATINE,homepage,2024-05-12T16:00:04.617Z,7.0,0,34,27,
CO_qJf-nW0k,Nemo - The Code (LIVE) | Switzerland🇨🇭| Grand Final | Eurovision 2024,Eurovision Song Contest,homepage,2024-05-12T16:00:04.621Z,7.0,0,34,27,
OpaV5V3J0oc,"Leto - Enlève tes pes-sa feat JKSN, Kaaris & La Mano 1.9 (Clip officiel)",Leto,homepage,2024-05-12T16:00:04.625Z,7.0,0,34,27,
YDBIxhq6pH4,"M. Pokora, Fally Ipupa - Chez toi, chez moi (Clip officiel)",M. Pokora Officiel,homepage,2024-05-12T16:00:04.629Z,7.0,0,34,27,
SQ1yPMTIwCU,Stray Kids Lose My Breath (Feat. Charlie Puth) M/V,JYP Entertainment,homepage,2024-05-12T16:00:04.632Z,7.0,0,34,27,
OpcPQyz9kEA,JuL - Nouvel album Mise à jour le 7 juin 🔄🛸,DORETDEPLATINE,homepage,2024-05-12T16:00:04.636Z,7.0,0,34,27,
O0rw1PFmWaI,J’ai acheté les meilleurs sabres lasers ! (pardon Leia),MATH,homepage,2024-05-12T16:00:04.641Z,7.0,0,34,27,
2jFRiKEQHQI,J’ai été dépassé en abonnés…,Fuzay²,homepage,2024-05-12T16:00:04.646Z,7.0,0,34,27,
GXhWNYL7kMI,OFFICIEL : MBAPPE QUITTE LE PSG.,L' immigré parisien,homepage,2024-05-12T16:00:04.651Z,7.0,0,34,27,
o2KxzHAO9jQ,Je vais porter la Flamme Olympique 🇫🇷🤹‍♀️🥇 - Malik Bentalha,Malik Bentalha,homepage,2024-05-12T16:00:04.655Z,7.0,0,34,27,
cAT_L79VsGw,𝐏𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐓𝐈𝐄𝐋𝐋𝐄 𝟐𝟎𝟐𝟒:,Onama Live,homepage,2024-05-12T16:00:04.659Z,7.0,0,34,27,
l8PMl7tUDIE,FRANCE 24 – EN DIRECT – Info et actualités internationales en continu 24h/24,FRANCE 24,homepage,2024-05-12T16:00:04.664Z,7.0,0,34,27,
KAnpOc_vkb0,Guerre en Ukraine : percée russe en direction de Kharkiv,franceinfo,homepage,2024-05-12T16:00:04.669Z,7.0,0,34,27,
MSzQ8Fb6Y3s,"Le climat en questions, avec Jean-Marc Jancovici",Telecom Paris,homepage,2024-05-12T16:00:04.673Z,7.0,0,34,27,
IyDe5zoxp0g,Quels sont les pouvoirs de la pensée ? | 42 - La réponse à presque tout  | ARTE,ARTE,homepage,2024-05-12T16:00:04.677Z,7.0,0,34,27,
UYxKpxktomk,"Andréa Kotarac, porte parole du RN | LEurope cest nous !",LCP - Assemblée nationale,homepage,2024-05-12T16:00:04.682Z,7.0,0,34,27,
R06aBVep-AI,"Pickpockets, escrocs et cartes bancaires",Investigations et Enquêtes,homepage,2024-05-12T16:00:04.686Z,7.0,0,34,27,
Ws95BRUKsB8,"Thierry Ardisson: Cyril Hanouna est une racaille inculte, un type qui na aucune  éducation",Oumma,homepage,2024-05-12T16:00:04.691Z,7.0,0,34,27,
f88TeY_zAco,Paris : ces habitants privés « de lumière » à cause dun immeuble construit à 8m de leur fenêtre,Le Parisien,homepage,2024-05-12T16:00:04.695Z,7.0,0,34,27,
EmAhKSUPHiw,David Hallyday,Ivan Frésard - Archives,homepage,2024-05-12T16:00:04.700Z,7.0,0,34,27,
