url,homePosition,ytkids,type,insertionDate,refreshNB,regionAllowed,author,watchTime,actionNB,videoViewsNB,parent_id
irmjkT-cu9I,50.0,NA,homepage,2022-06-17T14:47:16.379Z,0.0,,JOYCA,0.0,0,0,
N5_huaN1mGk,51.0,NA,homepage,2022-06-17T14:47:16.394Z,0.0,,CANAL+,0.0,0,0,
k4TtUMQ0Mz4,52.0,NA,homepage,2022-06-17T14:47:16.408Z,0.0,,CBS Evening News,0.0,0,0,
dz0dEzAHKUo,53.0,NA,homepage,2022-06-17T14:47:16.422Z,0.0,,Le Dessous des Cartes - ARTE,0.0,0,0,
eB2OpurOFhk,54.0,NA,homepage,2022-06-17T14:47:16.436Z,0.0,,World of Idiots,0.0,0,0,
4TWR90KJl84,55.0,NA,homepage,2022-06-17T14:47:16.450Z,0.0,,SMTOWN,0.0,0,0,
gmcZ7oFZm90,56.0,NA,homepage,2022-06-17T14:47:16.464Z,0.0,,Wankil Studio - Laink et Terracid,0.0,0,0,
9Auq9mYxFEE,57.0,NA,homepage,2022-06-17T14:47:16.482Z,0.0,,Sky News,0.0,0,0,
2BmGMi0IEx4,58.0,NA,homepage,2022-06-17T14:47:16.498Z,0.0,,Odd Tinkering,0.0,0,0,
1FBNIVQXhPc,59.0,NA,homepage,2022-06-17T14:47:16.515Z,0.0,,Enjoy Yourself,0.0,0,0,
a5vg_Yi42Ok,60.0,NA,homepage,2022-06-17T14:47:16.537Z,0.0,,Scuba Jake,0.0,0,0,
8f8Jqz4S-lA,61.0,NA,homepage,2022-06-17T14:47:16.555Z,0.0,,Nota Bene,0.0,0,0,
IYZZUjSsOpg,62.0,NA,homepage,2022-06-17T14:47:16.571Z,0.0,,Mcfly et Carlito,0.0,0,0,
PTq2UquSqe4,63.0,NA,homepage,2022-06-17T14:47:16.588Z,0.0,,Benjamin Verrecchia,0.0,0,0,
ktMlWTd8cak,64.0,NA,homepage,2022-06-17T14:47:16.599Z,0.0,,Karolina Protsenko Violin,0.0,0,0,
W86cTIoMv2U,65.0,NA,homepage,2022-06-17T14:47:16.613Z,0.0,,BBC,0.0,0,0,
QrqVKAPHZjM,66.0,NA,homepage,2022-06-17T14:47:16.633Z,0.0,,SQUEEZIE,0.0,0,0,
aCHCPuUMkXg,67.0,NA,homepage,2022-06-17T14:47:16.657Z,0.0,,52 minutes,0.0,0,0,
lp2QQT2wOlk,68.0,NA,homepage,2022-06-17T14:47:16.687Z,0.0,,Baladas Romanticas Éxitos,0.0,0,0,
3-7awEoj6Ck,69.0,NA,homepage,2022-06-17T14:47:16.703Z,0.0,,Québec Test,0.0,0,0,
5qap5aO4i9A,70.0,NA,homepage,2022-06-17T14:47:16.713Z,0.0,,Lofi Girl,0.0,0,0,
